controller,ablation,scenario,environment_seed,neural_repeat,status,completed_windows,simulation_seconds,wall_seconds,food,collision_substeps,motor_energy_demand,final_simulated_energy,escape_drive_integral,inference_mean_ms,reaction_seconds,recovery_seconds,reaction_status,recovery_status,baseline_escape_drive,preactivated,sampled_peak_process_rss_bytes,rss_sampling,reflex_interventions,physical_energy_debit,physical_energy_debit_status
connectome,none,A_translation,90026,0,completed,100,2.0,5.068131207997794,0.0,0,0.01733651158839311,0.8326634884116068,0.9608028414836115,50.19896171070286,0.06,,responded,not_applicable,0.12480544403126341,False,374915072,before episode and after each completed action window; transient allocations may be missed,0,0.0,not_applicable
connectome,none,A_translation,90027,0,completed,100,2.0,5.041319166994072,0.0,0,0.01619714740667178,0.8338028525933286,0.8814223972881137,49.92290171168861,0.2,,responded,not_applicable,0.0,False,374931456,before episode and after each completed action window; transient allocations may be missed,0,0.0,not_applicable
connectome,none,A_translation,90028,0,completed,100,2.0,4.926117791997967,0.0,0,0.017664826809940425,0.8323351731900587,0.9818744039760147,48.77606123074656,0.26,,responded,not_applicable,0.0,False,374964224,before episode and after each completed action window; transient allocations may be missed,0,0.0,not_applicable
connectome,none,A_translation,90029,0,completed,100,2.0,4.89694204099942,0.0,0,0.014545878346875079,0.8354541216531256,0.7731408943244971,48.485812070430256,0.04,,responded,not_applicable,0.4703981954062824,False,375013376,before episode and after each completed action window; transient allocations may be missed,0,0.0,not_applicable
connectome,none,A_translation,90030,0,completed,100,2.0,4.947978707990842,0.0,0,0.016378208233363754,0.8336217917666363,0.8853839166039741,48.998844149609795,0.06,,responded,not_applicable,0.0,False,375013376,before episode and after each completed action window; transient allocations may be missed,0,0.0,not_applicable
connectome,none,A_contraction,90001,0,completed,100,2.0,4.9782500410074135,0.0,0,0.002794667185925944,0.8472053328140735,0.0,49.27815791001194,,,no_response,not_applicable,0.0,False,375029760,before episode and after each completed action window; transient allocations may be missed,0,0.0,not_applicable
connectome,none,A_contraction,90002,0,completed,100,2.0,4.7658493330091005,0.0,0,0.004131651745344721,0.8458683482546555,0.08333331210303813,47.1907724995981,0.58,,responded,not_applicable,0.0,False,375095296,before episode and after each completed action window; transient allocations may be missed,0,0.0,not_applicable
connectome,none,A_contraction,90003,0,completed,100,2.0,4.779946250011562,0.0,0,0.017504264120131428,0.8324957358798682,0.9670850670832748,47.34225289081223,,,no_response,not_applicable,0.8360110608863073,True,375111680,before episode and after each completed action window; transient allocations may be missed,0,0.0,not_applicable
connectome,none,A_contraction,90004,0,completed,100,2.0,4.604854917008197,0.0,0,0.002768074596986816,0.8472319254030133,0.0,45.58318501964095,,,no_response,not_applicable,0.0,False,375111680,before episode and after each completed action window; transient allocations may be missed,0,0.0,not_applicable
connectome,none,A_contraction,90005,0,completed,100,2.0,4.67300029200851,0.0,0,0.006828338383001251,0.843171661616997,0.26203306031153717,46.273114560463,0.0,,responded,not_applicable,0.03686653615476586,False,375111680,before episode and after each completed action window; transient allocations may be missed,0,0.0,not_applicable
